Names;URL;Author;Price;Number of Ratings;Average Rating
Don't Lose Your Mind, Lose Your Weight;/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;   130.00;4.5 out of 5 stars;820
The 7 Habits of Highly Effective People;/Habits-Highly-Effective-People/dp/1471131823?_encoding=UTF8&psc=1;Not Available;   296.00;4.0 out of 5 stars;841
Catalyst;/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1;Not Available;   200.00;4.4 out of 5 stars;32
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017);/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1;Disha Experts;   246.00;4.1 out of 5 stars;144
Three Thousand Stitches: Ordinary People, Extraordinary Lives;/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1;Not Available;   141.00;4.4 out of 5 stars;157
Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session);/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1;R.D. Sharma;   830.00;4.3 out of 5 stars;11
Picture Books Collection for Early Learning;/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1;Not Available;   240.00;4.0 out of 5 stars;101
High School English Grammar and Composition Book (Regular Edition);/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;Not Available;   285.00;4.3 out of 5 stars;662
Man's Search for Meaning;/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;Viktor E Frankl;   225.00;4.2 out of 5 stars;461
RRB Group D Guide Hindi 2018;/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;Not Available;   193.00;4.1 out of 5 stars;14
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics;/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1;DC Pandey;   249.00;4.2 out of 5 stars;78
The Power of Habit: Why We Do What We Do, and How to Change;/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;   224.00;4.4 out of 5 stars;401
The Oath of the Vayuputras (Shiva Trilogy);/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1;Amish Tripathi;   243.00;4.4 out of 5 stars;1,413
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover;/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;Amish Tripathi;   219.00;4.1 out of 5 stars;4,383
The Theory of Everything;/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1;Stephen Hawking;   157.00;4.5 out of 5 stars;371
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry;/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;   249.00;3.9 out of 5 stars;75
Harry Potter and the Philosopher's Stone;/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;   349.00;4.7 out of 5 stars;770
