Names;URL;Author;Price;Number of Ratings;Average Rating
The Great Alone: A Novel;/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1;Kristin Hannah;$17.39;4.6 out of 5 stars;1,531
The Pout-Pout Fish;/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1;Deborah Diesen;$5.79;4.8 out of 5 stars;2,284
A Brief History of Time;/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1;Stephen Hawking;$10.69;4.5 out of 5 stars;2,128
Children of Blood and Bone (Legacy of Orisha);/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1;Tomi Adeyemi;$11.95;4.7 out of 5 stars;203
I've Loved You Since Forever;/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1;Hoda Kotb;$14.24;4.6 out of 5 stars;66
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain";/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1;Not Available;$16.79;4.5 out of 5 stars;1,251
Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be;/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1;Rachel Hollis;$13.83;4.9 out of 5 stars;1,129
The Sun and Her Flowers;/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1;Rupi Kaur;$10.19;4.6 out of 5 stars;669
Baby Touch and Feel: Animals;/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1;DK;$4.19;4.5 out of 5 stars;1,621
I've Been Thinking . . .: Reflections, Prayers, and Meditations for a Meaningful Life;/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1;Maria Shriver;$11.99;4.9 out of 5 stars;162
There Was an Old Lady Who Swallowed a Chick!;/There-Was-Lady-Swallowed-Chick/dp/0545161819?_encoding=UTF8&psc=1;Lucille Colandro;$4.99;4.8 out of 5 stars;63
The Rock, the Road, and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began;/Rock-Road-Rabbi-Journey-Scriptural/dp/0785215964?_encoding=UTF8&psc=1;Kathie Lee Gifford;$14.99;4.5 out of 5 stars;61
The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat);/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1;The College Board;$19.79;4.5 out of 5 stars;217
My First Easter;/My-First-Easter-Tomie-dePaola/dp/0448447908?_encoding=UTF8&psc=1;Tomie dePaola;$5.99;4.1 out of 5 stars;81
Call Me by Your Name: A Novel;/Call-Me-Your-Name-Novel/dp/1250169445?_encoding=UTF8&psc=1;Not Available;$10.13;4.6 out of 5 stars;1,172
There's No Place Like Space: All About Our Solar System  (Cat in the Hat's Learning Library);/Theres-No-Place-Like-Space/dp/0679891153?_encoding=UTF8&psc=1;Tish Rabe;$8.99;4.7 out of 5 stars;663
Beneath a Scarlet Sky: A Novel;/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1;Mark Sullivan;$8.63;4.8 out of 5 stars;16,977
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals;/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1;Laurel Randolph;$8.99;4.1 out of 5 stars;2,238
Brown Bear, Brown Bear, What Do You See?;/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1;Not Available;$6.08;4.8 out of 5 stars;2,679
Dungeon Master's Guide (D&D Core Rulebook);/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1;Wizards RPG Team;$29.97;4.6 out of 5 stars;1,138
Potty (Leslie Patricelli board books);/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1;Leslie Patricelli;$4.00;4.6 out of 5 stars;2,974
Principles: Life and Work;/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1;Ray Dalio;$18.00;4.4 out of 5 stars;456
Astrophysics for People in a Hurry;/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1;Neil deGrasse Tyson;$11.37;4.6 out of 5 stars;2,590
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering;/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1;Not Available;$6.97;4.5 out of 5 stars;159
What to Expect When You're Expecting;/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1;Heidi Murkoff;$14.36;4.4 out of 5 stars;4,171
Easter Basket Stuffers for Kids: Word Search Easter Gifts for Boys and Girls;/Easter-Basket-Stuffers-Kids-Search/dp/1986305465?_encoding=UTF8&psc=1;Not Available;$6.84;5.0 out of 5 stars;8
The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence;/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1;Leanne Vogel;$20.97;4.6 out of 5 stars;1,450
Love You Forever;/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1;Robert Munsch;$5.44;4.8 out of 5 stars;6,375
Educated: A Memoir;/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1;Tara Westover;$16.80;4.7 out of 5 stars;450
Magnolia Table: A Collection of Recipes for Gathering;/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1;Joanna Gaines;$17.99;Prime;Not Available
Monster Manual (D&D Core Rulebook);/Monster-Manual-Core-Rulebook-Wizards/dp/0786965614?_encoding=UTF8&psc=1;Wizards RPG Team;$29.97;4.7 out of 5 stars;1,124
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308?_encoding=UTF8&psc=1;Marie Kondō;$10.19;4.4 out of 5 stars;12,919
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1;Michelle McNamara;$16.79;4.6 out of 5 stars;162
Where Do Diggers Sleep at Night?;/Where-Do-Diggers-Sleep-Night/dp/0385374151?_encoding=UTF8&psc=1;Brianna Caplan Sayres;$5.26;4.8 out of 5 stars;1,265
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3);/Dog-Man-Kitties-Creator-Underpants/dp/0545935210?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;4.8 out of 5 stars;408
An American Marriage: A Novel (Oprah's Book Club 2018 Selection);/American-Marriage-Novel-Oprahs-Selection/dp/1616208775?_encoding=UTF8&psc=1;Tayari Jones;$16.17;4.6 out of 5 stars;668
Man's Search for Meaning;/Mans-Search-Meaning-Viktor-Frankl/dp/080701429X?_encoding=UTF8&psc=1;Viktor E. Frankl;$6.99;4.7 out of 5 stars;4,103
Junie B., First Grader: Dumb Bunny (Book 27);/Junie-B-First-Grader-Bunny/dp/0375838104?_encoding=UTF8&psc=1;Barbara Park;$4.99;4.6 out of 5 stars;128
Jesus Calling: Enjoying Peace in His Presence;/Jesus-Calling-Enjoying-Peace-Presence/dp/1591451884?_encoding=UTF8&psc=1;Sarah Young;$9.72;4.9 out of 5 stars;16,563
Killing the Deep State: The Fight to Save President Trump;/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1;Not Available;$17.99;4.8 out of 5 stars;310
I Can Only Imagine: A Memoir;/I-Can-Only-Imagine-Memoir/dp/0785216731?_encoding=UTF8&psc=1;Bart Millard;$11.23;5.0 out of 5 stars;198
The Alchemist;/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1;Paulo Coelho;$10.19;4.6 out of 5 stars;11,797
Guess How Much I Love You;/Guess-How-Much-Love-You/dp/0763642649?_encoding=UTF8&psc=1;Sam McBratney;$5.49;4.7 out of 5 stars;2,039
Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2);/Dog-Man-Unleashed-Creator-Underpants/dp/0545935202?_encoding=UTF8&psc=1;Dav Pilkey;$7.99;4.8 out of 5 stars;416
Dog Man: From the Creator of Captain Underpants (Dog Man #1);/Dog-Man-Creator-Captain-Underpants/dp/0545581605?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;4.7 out of 5 stars;353
A Gentleman in Moscow: A Novel;/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?_encoding=UTF8&psc=1;Amor Towles;$16.20;4.7 out of 5 stars;7,721
The Itsy Bitsy Bunny;/Itsy-Bitsy-Bunny-Jeffrey-Burton/dp/1481456210?_encoding=UTF8&psc=1;Jeffrey Burton;$5.68;4.8 out of 5 stars;63
The Splat: Coloring the '90s (Nickelodeon) (Adult Coloring Book);/Splat-Coloring-Nickelodeon-Adult-Book/dp/1524715212?_encoding=UTF8&psc=1;Not Available;$10.34;4.6 out of 5 stars;143
Pete the Cat: Pete at the Beach (My First I Can Read);/Pete-Cat-Beach-First-Read/dp/0062110721?_encoding=UTF8&psc=1;James Dean;$2.81;4.8 out of 5 stars;562
